Timestamp,Type,Confidence,Risk_Score
2026-02-07 04:54:20,smoke,0.2892908525466919,0.7300000000000001
2026-02-07 04:54:21,smoke,0.29470989227294925,0.65
2026-02-07 04:54:22,smoke,0.29470989227294925,0.535
2026-02-07 04:54:22,smoke,0.29470989227294925,0.7650000000000001
2026-02-07 04:54:23,smoke,0.28024293899536135,0.54
2026-02-07 04:54:24,smoke,0.28024293899536135,0.615
2026-02-07 04:54:24,smoke,0.28024293899536135,0.77
2026-02-07 04:54:25,smoke,0.27099096298217773,0.545
2026-02-07 04:54:26,smoke,0.27099096298217773,0.7050000000000001
2026-02-07 04:54:26,smoke,0.27099096298217773,0.6050000000000001
2026-02-07 04:54:27,smoke,0.2899452638626099,0.5950000000000001
2026-02-07 04:54:27,smoke,0.2899452638626099,0.67
2026-02-07 04:54:28,smoke,0.2899452638626099,0.6200000000000001
2026-02-07 04:54:29,smoke,0.28744225025177,0.78
2026-02-07 04:54:29,smoke,0.28744225025177,0.7
2026-02-07 04:54:30,smoke,0.28744225025177,0.5800000000000001
2026-02-07 04:54:30,smoke,0.2843953323364258,0.71
2026-02-07 04:54:31,smoke,0.2843953323364258,0.735
2026-02-07 04:54:31,smoke,0.2843953323364258,0.6699999999999999
2026-02-07 04:54:32,smoke,0.2000575017929077,0.65
2026-02-07 04:54:33,smoke,0.2000575017929077,0.7250000000000001
2026-02-07 04:54:33,smoke,0.2000575017929077,0.61
2026-02-07 04:54:34,smoke,0.20073033094406129,0.64
2026-02-07 04:54:34,smoke,0.20073033094406129,0.6900000000000001
2026-02-07 04:54:35,smoke,0.20073033094406129,0.7150000000000001
2026-02-07 04:54:36,none,0.045,0.53
2026-02-07 04:54:36,none,0.045,0.68
2026-02-07 04:54:37,none,0.045,0.575
2026-02-07 04:54:37,smoke,0.21612882137298584,0.5549999999999999
2026-02-07 04:54:38,smoke,0.21612882137298584,0.675
2026-02-07 04:54:39,smoke,0.21612882137298584,0.69
2026-02-07 04:54:39,fire,0.17740382671356203,0.725
2026-02-07 04:54:40,fire,0.17740382671356203,0.56
2026-02-07 04:54:40,fire,0.17740382671356203,0.605
2026-02-07 04:54:41,smoke,0.2208686184883118,0.585
2026-02-07 04:54:42,smoke,0.2208686184883118,0.635
2026-02-07 04:54:42,smoke,0.2208686184883118,0.735
2026-02-07 04:54:43,fire,0.2295763206481934,0.7000000000000001
2026-02-07 04:54:43,fire,0.2295763206481934,0.6799999999999999
2026-02-07 04:54:44,fire,0.2295763206481934,0.635
2026-02-07 04:54:45,smoke,0.24092730998992923,0.535
2026-02-07 04:54:45,smoke,0.24092730998992923,0.5750000000000001
2026-02-07 04:54:46,smoke,0.24092730998992923,0.65
2026-02-07 04:54:46,fire,0.21967794418334963,0.635
2026-02-07 04:54:47,fire,0.21967794418334963,0.655
2026-02-07 04:54:47,fire,0.21967794418334963,0.72
2026-02-07 04:54:48,fire,0.200478298664093,0.68
2026-02-07 04:54:49,fire,0.200478298664093,0.61
2026-02-07 04:54:49,fire,0.200478298664093,0.72
2026-02-07 05:03:35,fire,0.28263656616210936,0.595
2026-02-07 05:03:37,fire,0.26602854251861574,0.54
2026-02-07 05:03:37,fire,0.26602854251861574,0.63
2026-02-07 05:03:38,fire,0.26602854251861574,0.53
2026-02-07 05:03:38,fire,0.25576529026031497,0.6950000000000001
2026-02-07 05:03:39,fire,0.25576529026031497,0.78
2026-02-07 05:03:40,fire,0.25576529026031497,0.605
2026-02-07 05:03:40,fire,0.25111400604248046,0.8
2026-02-07 05:03:41,fire,0.25111400604248046,0.635
2026-02-07 05:03:41,fire,0.25111400604248046,0.6000000000000001
2026-02-07 05:03:42,fire,0.24951645851135257,0.665
2026-02-07 05:03:43,fire,0.24951645851135257,0.555
2026-02-07 05:03:43,fire,0.24951645851135257,0.6200000000000001
2026-02-07 05:03:44,fire,0.22821502208709715,0.7050000000000001
2026-02-07 05:03:44,fire,0.22821502208709715,0.66
2026-02-07 05:03:45,fire,0.22821502208709715,0.7300000000000001
2026-02-07 05:03:46,fire,0.2271397423744202,0.7300000000000001
2026-02-07 05:03:46,fire,0.2271397423744202,0.555
2026-02-07 05:03:47,fire,0.2271397423744202,0.62
2026-02-07 05:03:47,fire,0.2352976989746094,0.65
2026-02-07 05:03:48,fire,0.2352976989746094,0.785
2026-02-07 05:03:48,fire,0.2352976989746094,0.6900000000000001
2026-02-07 05:03:49,fire,0.2691826057434082,0.635
2026-02-07 05:03:50,fire,0.2691826057434082,0.7650000000000001
2026-02-07 05:03:50,fire,0.2691826057434082,0.7850000000000001
2026-02-07 05:03:51,fire,0.30716185092926024,0.525
2026-02-07 05:03:51,fire,0.30716185092926024,0.5850000000000001
2026-02-07 05:30:58,fire,0.2828032922744751,0.7050000000000001
2026-02-07 05:30:59,fire,0.26604427814483644,0.52
2026-02-07 05:30:59,fire,0.26604427814483644,0.685
2026-02-07 05:31:00,fire,0.26604427814483644,0.535
2026-02-07 05:31:00,fire,0.2557022523880005,0.73
2026-02-07 05:31:00,fire,0.2557022523880005,0.8099999999999999
2026-02-07 05:31:00,fire,0.2557022523880005,0.5850000000000001
2026-02-07 05:31:00,fire,0.25126635551452636,0.685
2026-02-07 05:31:00,fire,0.25126635551452636,0.53
2026-02-07 05:31:00,fire,0.25126635551452636,0.7100000000000001
2026-02-07 05:31:00,fire,0.24996485233306887,0.7200000000000001
2026-02-07 05:31:00,fire,0.24996485233306887,0.5650000000000001
2026-02-07 05:31:01,fire,0.24996485233306887,0.625
2026-02-07 05:31:01,fire,0.22816450119018555,0.745
2026-02-07 05:31:01,fire,0.22816450119018555,0.7050000000000001
2026-02-07 05:31:01,fire,0.22816450119018555,0.625
2026-02-07 05:31:01,fire,0.22706238746643065,0.6799999999999999
2026-02-07 05:31:01,fire,0.22706238746643065,0.73
2026-02-07 05:31:01,fire,0.22706238746643065,0.59
2026-02-07 05:31:01,fire,0.23388837099075316,0.61
2026-02-07 05:31:01,fire,0.23388837099075316,0.675
2026-02-07 05:31:01,fire,0.23388837099075316,0.6000000000000001
2026-02-07 05:31:02,fire,0.2707741451263428,0.7150000000000001
2026-02-07 05:31:02,fire,0.2707741451263428,0.65
2026-02-07 05:31:02,fire,0.2707741451263428,0.8200000000000001
2026-02-07 05:31:02,fire,0.3075849485397339,0.645
2026-02-07 05:31:02,fire,0.3075849485397339,0.5900000000000001
2026-02-07 05:31:02,fire,0.3075849485397339,0.5800000000000001
2026-02-07 05:31:02,fire,0.25111271858215334,0.6950000000000001
2026-02-07 05:31:02,fire,0.25111271858215334,0.66
2026-02-07 05:31:02,fire,0.25111271858215334,0.7050000000000001
2026-02-07 05:31:02,fire,0.28805272102355955,0.675
2026-02-07 05:31:03,fire,0.28805272102355955,0.71
2026-02-07 05:31:03,fire,0.28805272102355955,0.73
2026-02-07 05:31:03,fire,0.2921135854721069,0.665
2026-02-07 05:31:03,fire,0.2921135854721069,0.7350000000000001
2026-02-07 05:31:03,fire,0.2921135854721069,0.525
2026-02-07 05:31:03,fire,0.3170057487487793,0.7450000000000001
2026-02-07 05:31:03,fire,0.3170057487487793,0.77
2026-02-07 05:31:03,fire,0.3170057487487793,0.71
2026-02-07 05:31:03,fire,0.2751321268081665,0.67
2026-02-07 05:31:03,fire,0.2751321268081665,0.63
2026-02-07 05:31:03,fire,0.2751321268081665,0.7050000000000001
2026-02-07 05:31:04,fire,0.30125884532928465,0.5850000000000001
2026-02-07 05:31:04,fire,0.30125884532928465,0.76
2026-02-07 05:31:04,fire,0.30125884532928465,0.545
2026-02-07 05:31:04,fire,0.2999433946609497,0.7699999999999999
2026-02-07 05:31:04,fire,0.2999433946609497,0.78
2026-02-07 05:31:04,fire,0.2999433946609497,0.715
2026-02-07 05:31:04,fire,0.27144717693328857,0.7100000000000001
2026-02-07 05:31:04,fire,0.27144717693328857,0.78
2026-02-07 05:31:04,fire,0.27144717693328857,0.7000000000000001
2026-02-07 05:31:05,fire,0.24727363109588624,0.635
2026-02-07 05:31:05,fire,0.24727363109588624,0.65
2026-02-07 05:31:05,fire,0.24727363109588624,0.535
2026-02-07 05:31:05,fire,0.2464827251434326,0.7550000000000001
2026-02-07 05:31:05,fire,0.2464827251434326,0.7950000000000002
2026-02-07 05:31:05,fire,0.2464827251434326,0.635
2026-02-07 05:31:05,fire,0.26609363079071047,0.66
2026-02-07 05:31:05,fire,0.26609363079071047,0.7750000000000001
2026-02-07 05:31:05,fire,0.26609363079071047,0.7200000000000001
2026-02-07 05:31:05,fire,0.2447380614280701,0.62
2026-02-07 05:31:05,fire,0.2447380614280701,0.6
2026-02-07 05:31:06,fire,0.2447380614280701,0.675
2026-02-07 05:31:06,fire,0.23722229719161986,0.7450000000000001
2026-02-07 05:31:06,fire,0.23722229719161986,0.6900000000000001
2026-02-07 05:31:06,fire,0.23722229719161986,0.7949999999999999
2026-02-07 05:31:06,fire,0.25042626380920413,0.6699999999999999
2026-02-07 05:31:06,fire,0.25042626380920413,0.6100000000000001
2026-02-07 05:31:06,fire,0.25042626380920413,0.675
2026-02-07 05:31:06,fire,0.2824710321426392,0.545
2026-02-07 05:31:06,fire,0.2824710321426392,0.75
2026-02-07 05:31:06,fire,0.2824710321426392,0.655
2026-02-07 05:31:07,fire,0.30411922454833984,0.8
2026-02-07 05:31:07,fire,0.30411922454833984,0.5950000000000001
2026-02-07 05:31:07,fire,0.30411922454833984,0.635
2026-02-07 05:31:07,fire,0.31802680015563967,0.66
2026-02-07 05:31:07,fire,0.31802680015563967,0.5800000000000001
2026-02-07 05:31:07,fire,0.31802680015563967,0.615
2026-02-07 05:31:07,fire,0.30160505294799805,0.53
2026-02-07 05:31:07,fire,0.30160505294799805,0.725
2026-02-07 05:31:07,fire,0.30160505294799805,0.63
2026-02-07 05:31:07,fire,0.2460047435760498,0.49
2026-02-07 05:31:08,fire,0.2460047435760498,0.6200000000000001
2026-02-07 05:31:08,fire,0.2460047435760498,0.7450000000000001
2026-02-07 05:31:10,fire,0.28219937801361084,0.65
2026-02-07 05:31:11,fire,0.265854640007019,0.52
2026-02-07 05:31:11,fire,0.265854640007019,0.5800000000000001
2026-02-07 05:31:11,fire,0.265854640007019,0.6000000000000001
2026-02-07 05:31:11,fire,0.25562438488006595,0.5700000000000001
2026-02-07 05:31:11,fire,0.25562438488006595,0.535
2026-02-07 05:31:11,fire,0.25562438488006595,0.595
2026-02-07 05:31:11,fire,0.2512571525573731,0.475
2026-02-07 05:31:11,fire,0.2512571525573731,0.6950000000000001
2026-02-07 05:31:11,fire,0.2512571525573731,0.6050000000000001
2026-02-07 05:31:11,fire,0.24982425689697269,0.77
2026-02-07 05:31:11,fire,0.24982425689697269,0.6900000000000001
2026-02-07 05:31:12,fire,0.24982425689697269,0.7650000000000001
2026-02-07 05:31:12,fire,0.22842980146408082,0.685
2026-02-07 05:31:12,fire,0.22842980146408082,0.66
2026-02-07 05:31:12,fire,0.22842980146408082,0.625
2026-02-07 05:31:12,fire,0.22734952688217164,0.6150000000000001
2026-02-07 05:31:12,fire,0.22734952688217164,0.5850000000000001
2026-02-07 05:31:12,fire,0.22734952688217164,0.665
2026-02-07 05:31:12,fire,0.2348831844329834,0.5800000000000001
2026-02-07 05:31:12,fire,0.2348831844329834,0.68
2026-02-07 05:31:12,fire,0.2348831844329834,0.71
2026-02-07 05:31:13,fire,0.27022704601287845,0.6900000000000001
2026-02-07 05:31:13,fire,0.27022704601287845,0.8
2026-02-07 05:31:13,fire,0.27022704601287845,0.665
2026-02-07 05:31:13,fire,0.30778038024902343,0.7749999999999999
2026-02-07 05:31:13,fire,0.30778038024902343,0.63
2026-02-07 05:31:13,fire,0.30778038024902343,0.56
2026-02-07 05:31:13,fire,0.25160951137542725,0.64
2026-02-07 05:31:13,fire,0.25160951137542725,0.7050000000000001
